Frequency,Log Magnitude,Phase
1028000000.0,-13.72629687,139.6833445
1029000000.0,-13.71490001,138.5239341
1030000000.0,-13.70099326,137.3444114
1031000000.0,-13.68155813,136.1726693
1032000000.0,-13.65483626,134.9988349
1033000000.0,-13.61908151,133.7592048
1034000000.0,-13.5812915,132.4334996
1035000000.0,-13.54909035,131.0391236
1036000000.0,-13.52660327,129.5801266
1037000000.0,-13.51460455,128.1396804
1038000000.0,-13.50643467,126.7321543
1039000000.0,-13.49803294,125.3154408
1040000000.0,-13.494091,123.9036539
1041000000.0,-13.49118244,122.4957607
1042000000.0,-13.49524677,121.1085689
1043000000.0,-13.49569243,119.7168966
1044000000.0,-13.49683538,118.3650505
1045000000.0,-13.49590641,117.0272313
1046000000.0,-13.48911344,115.6840052
1047000000.0,-13.47501068,114.3171399
1048000000.0,-13.46234936,112.8485725
1049000000.0,-13.45987464,111.3191771
1050000000.0,-13.47536785,109.7688868
1051000000.0,-13.50461008,108.2918398
1052000000.0,-13.54249234,106.9248982
1053000000.0,-13.57219229,105.6841386
1054000000.0,-13.59072386,104.4659059
1055000000.0,-13.59855029,103.2882474
1056000000.0,-13.59176024,102.0499614
1057000000.0,-13.58272242,100.7799925
1058000000.0,-13.57287264,99.46640749
1059000000.0,-13.56661509,98.08767153
1060000000.0,-13.56389071,96.6987817
1061000000.0,-13.56436094,95.28690629
1062000000.0,-13.56763015,93.88898075
1063000000.0,-13.57378449,92.4864218
1064000000.0,-13.58474335,91.06297517
1065000000.0,-13.60263805,89.69317814
1066000000.0,-13.62302585,88.36140338
1067000000.0,-13.63959962,87.06372165
1068000000.0,-13.65393026,85.81044549
1069000000.0,-13.66367627,84.56829349
1070000000.0,-13.66677285,83.33693041
1071000000.0,-13.67004713,82.12953733
1072000000.0,-13.66043179,80.97273016
1073000000.0,-13.63647831,79.7812812
1074000000.0,-13.59845804,78.48372236
1075000000.0,-13.55922655,77.07657416
1076000000.0,-13.52673909,75.58248144
1077000000.0,-13.50643635,74.02905604
1078000000.0,-13.49470544,72.46967274
1079000000.0,-13.48944535,70.91715091
1080000000.0,-13.48636415,69.36203423
1081000000.0,-13.48844599,67.79524098
1082000000.0,-13.50194063,66.2085584
1083000000.0,-13.51985594,64.6599891
1084000000.0,-13.54949448,63.20956569
1085000000.0,-13.56861288,61.83903144
1086000000.0,-13.57815386,60.5054603
1087000000.0,-13.57847961,59.14727375
1088000000.0,-13.57245797,57.72607349
1089000000.0,-13.57086394,56.26021772
1090000000.0,-13.56975082,54.78470776
1091000000.0,-13.57387447,53.29250234
1092000000.0,-13.58162326,51.79010001
